id_estado,estado,confirmado,defunciones
16,Michoacan,13513.0,1071.0
23,Quintana Roo,9722.0,1315.0
15,Mexico,64231.0,9620.0
29,Tlaxcala,5930.0,914.0
9,Ciudad de Mexico,91581.0,8111.0
2,Baja California,15917.0,3051.0
30,Veracruz,26873.0,3529.0
17,Morelos,4944.0,951.0
27,Tabasco,26894.0,2407.0
25,Sinaloa,15288.0,2649.0
31,Yucatan,13520.0,1208.0
28,Tamaulipas,22599.0,1658.0
21,Puebla,25435.0,3263.0
13,Hidalgo,9371.0,1419.0
19,Nuevo Leon,26147.0,1990.0
7,Chiapas,6144.0,1049.0
26,Sonora,20693.0,2486.0
11,Guanajuato,28512.0,1582.0
8,Chihuahua,7214.0,1080.0
12,Guerrero,14054.0,1629.0
14,Jalisco,18115.0,2181.0
5,Coahuila,19710.0,1229.0
1,Aguascalientes,5149.0,351.0
22,Queretaro,5542.0,608.0
6,Colima,3181.0,334.0
3,Baja California Sur,6857.0,314.0
20,Oaxaca,12954.0,1221.0
10,Durango,5756.0,397.0
18,Nayarit,4625.0,536.0
4,Campeche,5328.0,713.0
24,San Luis Potosi,15804.0,972.0
32,Zacatecas,4613.0,416.0
