id_estado,estado,confirmado,defunciones
27,Tabasco,29012.0,2580.0
13,Hidalgo,10778.0,1641.0
9,Ciudad de Mexico,102938.0,8631.0
28,Tamaulipas,25036.0,1839.0
15,Mexico,70075.0,10315.0
8,Chihuahua,8229.0,1185.0
1,Aguascalientes,5862.0,424.0
2,Baja California,17325.0,3255.0
26,Sonora,21923.0,2650.0
7,Chiapas,6298.0,1070.0
17,Morelos,5333.0,994.0
12,Guerrero,15263.0,1728.0
14,Jalisco,21441.0,2581.0
11,Guanajuato,33272.0,2282.0
25,Sinaloa,16589.0,2855.0
5,Coahuila,22536.0,1460.0
30,Veracruz,29135.0,3852.0
19,Nuevo Leon,30679.0,2383.0
21,Puebla,27704.0,3585.0
31,Yucatan,15389.0,1353.0
23,Quintana Roo,10616.0,1437.0
10,Durango,6814.0,481.0
4,Campeche,5670.0,765.0
16,Michoacan,15828.0,1280.0
22,Queretaro,6882.0,726.0
29,Tlaxcala,6601.0,994.0
18,Nayarit,5155.0,620.0
3,Baja California Sur,8099.0,381.0
6,Colima,3905.0,422.0
20,Oaxaca,14088.0,1307.0
24,San Luis Potosi,18952.0,1241.0
32,Zacatecas,5663.0,534.0
