id_estado,estado,confirmado,defunciones
15,Mexico,55389.0,8470.0
27,Tabasco,23284.0,2070.0
31,Yucatan,10801.0,942.0
9,Ciudad de Mexico,76967.0,7400.0
2,Baja California,13915.0,2734.0
25,Sinaloa,13217.0,2304.0
8,Chihuahua,5587.0,938.0
14,Jalisco,14096.0,1647.0
30,Veracruz,22518.0,2957.0
28,Tamaulipas,17448.0,1118.0
21,Puebla,21345.0,2567.0
7,Chiapas,5866.0,992.0
11,Guanajuato,22565.0,1122.0
23,Quintana Roo,8233.0,1066.0
16,Michoacan,10477.0,816.0
12,Guerrero,11698.0,1445.0
20,Oaxaca,11227.0,1016.0
17,Morelos,4226.0,852.0
19,Nuevo Leon,20321.0,1286.0
18,Nayarit,3677.0,420.0
13,Hidalgo,7271.0,1087.0
1,Aguascalientes,4257.0,266.0
22,Queretaro,3952.0,474.0
3,Baja California Sur,4866.0,201.0
26,Sonora,18448.0,2098.0
5,Coahuila,14181.0,735.0
29,Tlaxcala,4899.0,745.0
6,Colima,2060.0,219.0
10,Durango,4448.0,308.0
4,Campeche,4752.0,530.0
24,San Luis Potosi,11065.0,591.0
32,Zacatecas,3044.0,282.0
