id_estado,estado,confirmado,defunciones
15,Mexico,58373.0,8898.0
27,Tabasco,24758.0,2201.0
25,Sinaloa,14106.0,2462.0
14,Jalisco,15681.0,1870.0
2,Baja California,14685.0,2853.0
9,Ciudad de Mexico,81618.0,7673.0
23,Quintana Roo,8816.0,1145.0
21,Puebla,22985.0,2841.0
12,Guerrero,12641.0,1513.0
20,Oaxaca,11878.0,1084.0
26,Sonora,19403.0,2316.0
11,Guanajuato,24975.0,1320.0
30,Veracruz,24443.0,3154.0
8,Chihuahua,6146.0,993.0
3,Baja California Sur,5691.0,225.0
32,Zacatecas,3579.0,344.0
31,Yucatan,11903.0,1056.0
5,Coahuila,16286.0,959.0
7,Chiapas,5968.0,1020.0
19,Nuevo Leon,22328.0,1574.0
13,Hidalgo,8103.0,1199.0
28,Tamaulipas,18734.0,1371.0
17,Morelos,4447.0,879.0
16,Michoacan,11501.0,902.0
29,Tlaxcala,5218.0,808.0
22,Queretaro,4467.0,523.0
10,Durango,4921.0,350.0
1,Aguascalientes,4574.0,294.0
18,Nayarit,4020.0,465.0
6,Colima,2418.0,269.0
4,Campeche,5005.0,628.0
24,San Luis Potosi,12851.0,740.0
